N„–  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
577 |* bet Cir                          |PM*|15 17 30.8501567 -58 48 04.337319      |     ~| 4.153| 4.057|     ~|     ~|A3Va                 | 109 |   0
578 |* alf Ori                          |s*r|05 55 10.30536 +07 24 25.4304          | 4.38 | 2.27 | 0.42 |-1.17 |-2.45 |M1-M2Ia-Iab          |1478 |   0
579 |* del Psc                          |PM*|00 48 40.94433 +07 35 06.2926          | 7.83 | 5.95 | 4.44 | 3.27 | 2.40 |K5-III               | 177 |   0
580 |* 15 Lac                           |PM*|22 52 02.0332263853 +43 18 44.702764711|     ~| 6.497| 4.938|     ~|     ~|M0III                |  42 |   0
581 |* ome01 Cyg                        |Pu*|20 30 03.5396830449 +48 57 05.637785409| 4.23 | 4.835| 4.936|     ~|     ~|B2.5IV               | 103 |   1
582 |* lam Oph A                        |PM*|16 30 54.8188253125 +01 59 02.058484706|     ~| 4.18 | 4.15 |     ~|     ~|A0V                  |   9 |   0
583 |* psi Vir                          |LP*|12 54 21.1634176 -09 32 20.378283      | 7.94 | 6.39 | 4.80 | 3.23 | 1.95 |M3-III               | 158 |   0
584 |* mu. And                          |PM*|00 56 45.2121113 +38 29 57.638044      | 4.14 | 3.99 | 3.87 | 3.72 | 3.64 |A6V                  | 206 |   0
585 |* zet Pyx                          |PM*|08 39 42.4733206577 -29 33 39.907903574|     ~| 5.777| 4.872|     ~|     ~|G6IIIbCN-0.5         |  47 |   0
586 |NAME * f Pup AB                    |** |07 37 22.106404 -34 58 06.73542        |     ~| 4.70 | 4.83 |     ~|     ~|~                    |   2 |   0
587 |V* ET UMa                          |a2*|10 24 07.8480130480 +65 33 59.120995310|     ~| 4.889| 4.930|     ~|     ~|A1:VpSiSrHg          | 260 |   0
588 |HD 50235                           |*  |06 50 52.3519384867 -34 22 02.347412642|     ~| 6.370| 4.989|     ~|     ~|K2/3III              |  27 |   0
589 |* eta Cap                          |** |21 04 24.3013240 -19 51 17.971066      | 5.07 | 5.02 | 4.84 | 4.68 | 4.61 |A5V                  | 107 |   0
590 |* gam Pyx                          |PM*|08 50 31.9228221 -27 42 35.442108      | 6.67 | 5.27 | 4.01 | 3.06 | 2.39 |K2.5III              | 103 |   0
591 |* chi Psc                          |*  |01 11 27.2187720 +21 02 04.740561      |     ~| 5.679| 4.658|     ~|     ~|G8.5III              | 112 |   0
592 |* 11 Lac                           |PM*|22 40 30.8588068 +44 16 34.704241      | 7.15 | 5.79 | 4.46 | 3.54 | 2.86 |K2.5III              | 123 |   0
593 |* tet Col                          |*  |06 07 31.6324955085 -37 15 10.516273764|     ~| 4.888| 4.994|     ~|     ~|B(8)IV               |  37 |   0
594 |* 7 CrB A                          |SB*|15 39 22.6729839797 +36 38 08.917465417|     ~| 4.871| 4.979|     ~|     ~|B7V                  |  86 |   0
595 |* e UMa                            |dS*|09 16 11.3275757272 +54 01 18.687827265|     ~| 4.995| 4.805|     ~| 4.58 |A6V                  | 131 |   0
596 |* ksi Col                          |*  |05 55 29.9103830063 -37 07 14.323188918|     ~| 6.058| 4.961|     ~|     ~|K1IIICNII            |  28 |   0
597 |* iot Cet                          |*  |00 19 25.6741634 -08 49 26.111055      | 5.94 | 4.77 | 3.55 | 2.70 | 2.11 |K1+IIICN0.5          | 167 |   0
598 |* bet Phe B                        |*  |01 06 05.047709 -46 43 06.25441        |     ~| 4.98 | 4.09 |     ~|     ~|~                    |   1 |   0
599 |* r Car                            |V* |10 35 35.2972129 -57 33 27.483463      |     ~| 6.043| 4.430|     ~|     ~|K3II-IIb             |  29 |   0
600 |HD 166208                          |SB*|18 07 28.7432061157 +43 27 42.749010239|     ~| 5.915| 4.997|     ~|     ~|G8IIICN-1CH-3        | 142 |   0
601 |* eps Boo B                        |*  |14 44 59.1497672913 +27 04 29.948119279| 6.81 | 4.853| 4.801|     ~|     ~|A0V                  |  43 |   0
602 |* zet Crt                          |** |11 44 45.7767687496 -18 21 02.400289273|     ~| 5.677| 4.706|     ~|     ~|G8.5III              |  89 |   0
603 |* l Aql                            |SB*|20 38 20.2826451625 -01 06 18.436265173| 5.98 | 5.29 | 4.33 | 3.66 | 3.20 |G7.5IIIa             |  85 |   0
604 |* d Per                            |bC*|04 21 33.1665114905 +46 29 55.959062198| 4.31 | 4.757| 4.812|     ~|     ~|B4IV                 | 181 |   0
605 |* eps Cap                          |Be*|21 37 04.8306787 -19 27 57.646354      | 3.69 | 4.35 | 4.55 | 4.60 | 4.74 |B3V                  | 240 |   0
606 |* bet Psc                          |Be*|23 03 52.6134921 +03 49 12.166213      | 3.90 | 4.40 | 4.52 | 4.54 | 4.67 |B6Ve                 | 236 |   0
607 |* lam Lyr                          |V* |19 00 00.8253423216 +32 08 43.841834157|     ~| 6.401| 4.930|     ~|     ~|K2.5III:Ba0.5        | 108 |   0
608 |* tau Cet                          |PM*|01 44 04.0834226 -15 56 14.926552      | 4.43 | 4.22 | 3.50 | 2.88 | 2.41 |G8V                  |1097 |   1
609 |* 74 Oph                           |*  |18 20 52.0643464670 +03 22 37.781689457|     ~| 5.764| 4.856|     ~|     ~|G8III                | 103 |   0
610 |* mu. Ser                          |** |15 49 37.20696 -03 25 48.7358          | 3.39 | 3.49 | 3.53 | 3.54 | 3.59 |B9.5III              | 105 |   0
611 |V* BH CVn                          |RS*|13 34 47.8087874928 +37 10 56.694070527| 5.43 | 5.38 | 4.98 | 4.57 | 4.27 |A6m                  | 318 |   0
612 |* del01 Tel                        |SB*|18 31 45.4328823 -45 54 53.316636      | 4.38 | 4.804| 4.920|     ~|     ~|B5/7                 |  49 |   0
613 |* 4 UMi                            |SB*|14 08 50.9187879547 +77 32 50.979066038|     ~| 6.177| 4.805|     ~|     ~|K3-IIIbFe-0.5        | 100 |   0
614 |* gam01 And                        |SB*|02 03 53.95229 +42 19 47.0223          | 4.22 | 3.30 | 2.10 | 1.16 | 0.47 |K2+IIb               | 333 |   0
615 |* psi Vel                          |** |09 30 41.99958 -40 28 00.2616          | 3.89 | 3.96 | 3.60 | 3.24 | 3.02 |F3VFe-0.7            | 106 |   0
616 |* iot Her                          |bC*|17 39 27.8860861 +46 00 22.800110      | 2.940| 3.630| 3.800|     ~|     ~|B3IV                 | 430 |   0
617 |* lam Tel                          |*  |18 58 27.7671030 -52 56 19.062207      |     ~| 4.786| 4.838|     ~|     ~|B9.5IV/V             |  40 |   0
618 |* B Car                            |SB*|08 09 00.5695810134 -61 18 08.583553860|     ~| 5.19 | 4.76 |     ~|     ~|F6VFe-0.8CH-0.4      | 145 |   0
619 |* h UMa                            |PM*|09 31 31.7087322 +63 03 42.701339      | 4.10 | 4.00 | 3.67 | 3.33 | 3.15 |F0IV                 | 124 |   0
620 |* mu. Nor                          |s*b|16 34 05.0202815 -44 02 43.128156      | 4.05 | 4.99 | 4.94 | 6.36 |     ~|O9.7Iab              | 258 |   0
621 |* zet Ara                          |*  |16 58 37.2121689 -55 59 24.520302      |     ~| 4.701| 3.076|     ~|     ~|K3III                |  87 |   0
622 |* chi Cas                          |*  |01 33 55.8803462403 +59 13 55.387594638|     ~| 5.675| 4.681|     ~|     ~|G9IIIb               | 111 |   0
623 |* b Leo                            |Pe*|11 02 19.7757690 +20 10 47.426510      |     ~| 4.452| 4.398|     ~|     ~|kA1VmA3V             | 169 |   0
624 |* pi. Peg                          |*  |22 09 59.2437138 +33 10 41.597624      | 4.93 | 4.75 | 4.29 | 3.90 | 3.63 |F5III                | 124 |   0
625 |* 2 Cyg                            |*  |19 24 07.5786267780 +29 37 16.793386618| 4.16 | 4.851| 4.977|     ~|     ~|B3IV                 | 115 |   1
626 |* eta Aql                          |cC*|19 52 28.3677478 +01 00 20.369619      | 5.12 | 4.61 | 3.80 |     ~| 3.030|F6Iab+B9.8V          | 634 |   0
627 |Cl Collinder 228                   |OpC|10 44 00.0 -60 05 12                   |     ~| 4.58 | 4.4  |     ~|     ~|~                    | 191 |   0
628 |* tet Car                          |SB*|10 42 57.4019674 -64 23 40.020796      | 1.53 | 2.54 | 2.76 | 2.87 | 3.10 |B0Vp                 | 313 |   0
629 |* gam Cen                          |** |12 41 31.04008 -48 57 35.5375          | 2.15 | 2.16 | 2.17 | 2.14 | 2.14 |A1IV+A0IV            | 118 |   1
630 |* 68 Cyg                           |SB*|21 18 27.1855667264 +43 56 45.388423736| 4.05 | 4.99 | 5.00 |     ~|     ~|O7.5IIIn((f))        | 359 |   0
631 |* eta Per                          |*  |02 50 41.8095904 +55 53 43.787576      | 7.38 | 5.48 | 3.79 | 2.56 | 1.67 |K3-Ib-IIa            | 201 |   0
632 |* ome Aur                          |PM*|04 59 15.4103801091 +37 53 24.885401640|     ~| 5.01 | 5.00 |     ~|     ~|A1V                  | 123 |   0
633 |* m Vel                            |SB*|09 51 40.6678152667 -46 32 51.432912741| 6.77 | 5.78 | 4.58 | 3.75 | 3.12 |G6IIa                |  32 |   0
634 |* eps TrA                          |PM*|15 36 43.2222326 -66 19 01.333399      |     ~| 5.270| 4.104|     ~|     ~|K1/2III              |  43 |   0
635 |* 37 LMi                           |*  |10 38 43.2126896 +31 58 34.460669      |     ~| 5.494| 4.677|     ~|     ~|G2.5IIIa             | 144 |   0
636 |NGC 3293                           |OpC|10 35 49.2 -58 13 48                   |     ~| 4.84 | 4.7  |     ~|     ~|~                    | 282 |   0
637 |* eps Ret                          |PM*|04 16 29.0292136 -59 18 07.761375      | 6.59 | 5.52 | 4.44 | 3.62 | 3.08 |K2III                | 213 |   1
638 |* ksi Pav                          |SB*|18 23 13.6461043757 -61 29 37.936379623|     ~| 5.834| 4.367|     ~|     ~|K4III                |  53 |   0
639 |* 30 Gem                           |PM*|06 43 59.2869703486 +13 13 40.818795627| 6.82 | 5.65 | 4.49 | 3.63 | 3.03 |K0+IIICa1            | 133 |   0
640 |* 60 Sgr A                         |*  |19 58 57.2029232614 -26 11 44.758488325|     ~| 5.735| 4.846|     ~|     ~|G6III                |  50 |   0
641 |* 14 Aur                           |dS*|05 15 24.3939839964 +32 41 15.363849904|     ~| 5.217| 5.000| 6.45 |     ~|A9V                  | 186 |   0
642 |* h Eri                            |HB*|03 42 50.0552747 -37 18 48.659746      |     ~| 5.783| 4.583|     ~|     ~|K1.5IIIbCN0.5        |  55 |   0
643 |* omi Hya                          |*  |11 40 12.7897023 -34 44 40.773362      | 4.41 | 4.63 | 4.70 | 4.69 | 4.74 |B9V                  |  64 |   0
644 |* 31 Ori                           |V* |05 29 43.9814689897 -01 05 32.058230061|     ~| 6.28 | 4.71 |     ~|     ~|K4III                |  85 |   0
645 |* 70 Oph                           |Ro*|18 05 27.28518 +02 30 00.3558          | 5.40 | 4.89 | 4.03 | 3.38 | 2.92 |K0-V                 | 607 |   0
646 |* tet CrB                          |Be*|15 32 55.78214 +31 21 32.8762          | 3.45 | 4.00 | 4.13 | 4.18 | 4.29 |B6Vnne               | 277 |   0
647 |* alf Lep                          |V* |05 32 43.8161188 -17 49 20.241380      | 3.02 | 2.77 | 2.57 | 2.35 | 2.14 |F0Ib                 | 269 |   0
648 |* alf Ret                          |PM*|04 14 25.4841381 -62 28 25.891671      | 4.90 | 4.27 | 3.36 | 2.71 | 2.27 |G8IIIa:              | 106 |   0
649 |* alf CrA                          |PM*|19 09 28.3409747 -37 54 16.102206      |     ~| 4.146| 4.087|     ~|     ~|A2Va                 | 103 |   0
650 |* m Cen                            |*  |13 24 00.4807468884 -64 32 08.409705367| 5.85 | 5.35 | 4.52 |     ~|     ~|G5IIb                |  40 |   0
651 |* zet Tel                          |PM*|18 28 49.8597995 -49 04 14.112225      |     ~| 5.15 | 4.13 |     ~|     ~|K1III-IV             |  44 |   0
652 |* nu. Tuc                          |LP?|22 33 00.0623966 -61 58 55.639006      | 8.17 | 6.42 | 4.81 |     ~|     ~|M4III                |  46 |   0
653 |* lam Dra                          |V* |11 31 24.2207524 +69 19 51.869616      | 7.44 | 5.47 | 3.85 | 2.54 | 1.55 |M0III-IIIaCa1        | 122 |   0
654 |* ups Psc                          |*  |01 19 27.9928886 +27 15 50.615529      |     ~| 4.789| 4.748|     ~|     ~|A3V                  |  84 |   0
655 |* 52 Her                           |a2*|16 49 14.21821 +45 58 59.9620          |     ~| 4.914| 4.823|     ~|     ~|A1VpSiSrCr           | 241 |   0
656 |* phi01 Pav                        |PM*|20 35 34.8493105655 -60 34 54.310346540|     ~| 5.036| 4.745|     ~|     ~|F0V                  |  71 |   0
657 |* omi Per A                        |SB*|03 44 19.1319543399 +32 17 17.690767251|     ~| 3.91 | 3.91 |     ~|     ~|~                    |  10 |   0
658 |V* V Pup                           |bL*|07 58 14.4391988 -49 14 41.680272      | 3.28 | 4.24 | 4.41 |     ~|     ~|B1Vp+B2:             | 225 |   0
659 |* iot01 Sco                        |s*y|17 47 35.0811299 -40 07 37.189349      |     ~| 3.492| 2.992|     ~|     ~|F2Ia                 | 104 |   0
660 |* B Vel                            |SB*|08 22 31.69411 -48 29 25.3631          | 3.83 | 4.67 | 4.82 | 4.86 | 4.99 |B2III                |  83 |   0
661 |* e Her                            |PM*|17 17 40.2534373332 +37 17 29.421400051| 4.67 | 4.70 | 4.65 | 4.56 | 4.56 |A2V                  |  90 |   0
662 |* alf02 Cap                        |PM*|20 18 03.2559477 -12 32 41.468352      | 5.20 | 4.51 | 3.58 | 2.91 | 2.42 |G9III                | 162 |   0
663 |* omi01 CMa                        |s*r|06 54 07.9531311183 -24 11 03.166770390| 7.59 | 5.60 | 3.87 | 2.70 | 1.88 |K2Iab                | 161 |   0
664 |* l Vir                            |PM*|13 31 57.8850553 -06 15 20.941894      | 8.25 | 6.29 | 4.69 | 3.23 | 2.07 |M2.5III              |  77 |   0
665 |* sig Sgr                          |** |18 55 15.92650 -26 17 48.2068          | 1.06 | 1.923| 2.067|     ~|     ~|B2V                  | 255 |   0
666 |* ome Per                          |*  |03 11 17.3816089 +39 36 41.701398      |     ~| 5.728| 4.607|     ~|     ~|K0III                |  96 |   0
667 |* gam Peg                          |bC*|00 13 14.1512308 +15 11 00.936759      | 1.75 | 2.61 | 2.84 | 2.94 | 3.13 |B2IV                 | 660 |   0
668 |* f01 Cyg                          |Be*|20 59 49.5516391039 +47 31 15.378902421| 3.77 | 4.71 | 4.75 | 4.62 | 4.63 |B1.5Vnne             | 467 |   0
669 |* sig Cet                          |** |02 32 05.2288409 -15 14 40.827782      | 5.19 | 5.20 | 4.75 | 4.34 | 4.07 |F5V                  | 186 |   0
670 |* del Mon                          |*  |07 11 51.8607792 -00 29 33.970825      |     ~| 4.14 | 4.15 |     ~|     ~|A0IV                 |  87 |   0
671 |* lam Boo                          |dS*|14 16 23.0187965 +46 05 17.900526      | 4.31 | 4.26 | 4.18 | 4.16 | 4.13 |A0Va_lB              | 326 |   0
672 |* f Tau                            |SB*|03 30 52.3829605353 +12 56 12.048872865| 6.25 | 5.23 | 4.10 | 3.33 | 2.79 |K0-III               |  98 |   0
673 |* del Cet                          |bC*|02 39 28.95579 +00 19 42.6345          | 2.97 | 3.85 | 4.07 |     ~|     ~|B2IV                 | 366 |   0
674 |* phi01 Cet                        |PM*|00 44 11.4001262 -10 36 34.381635      |     ~| 5.773| 4.767|     ~|     ~|K0III                | 101 |   0
675 |* zet Gem                          |cC*|07 04 06.5307903 +20 34 13.073871      | 5.20 | 4.58 | 3.79 |     ~| 3.082|G1Ib                 | 530 |   0
676 |* alf Vir                          |bC*|13 25 11.57937 -11 09 40.7501          |-0.20 | 0.74 | 0.97 | 1.06 | 1.30 |B1V                  | 819 |   2
677 |HD 114613                          |PM*|13 12 03.1833193234 -37 48 10.879261160| 5.86 | 5.55 | 4.85 | 4.28 | 3.92 |G3V                  | 165 |   0
678 |* b01 Aqr                          |PM*|23 22 58.2260607 -20 06 02.096316      | 6.03 | 5.08 | 3.98 | 3.16 | 2.56 |K1III                |  88 |   0
679 |* 39 Cru                           |Be*|12 41 56.5682387771 -59 41 08.956433559| 4.55 | 4.91 | 4.94 |     ~|     ~|B5III                |  91 |   0
680 |* 25 CVn                           |** |13 37 27.62782 +36 17 41.6337          |     ~| 5.05 | 4.82 |     ~|     ~|A7III+A8V:           | 138 |   0
681 |2MASS J22472789+5807236            |V* |22 47 27.89448 +58 07 23.6820          |     ~|     ~| 0.128|     ~| 0.128|~                    |   1 |   0
682 |* d Cen                            |** |13 31 02.6565951 -39 24 26.298992      | 6.08 | 5.04 | 3.88 | 3.04 | 2.45 |G8II/III             |  73 |   0
683 |* ksi Aqr                          |SB*|21 37 45.1093071 -07 51 15.129919      | 5.01 | 4.86 | 4.69 | 4.52 | 4.42 |K0III                | 112 |   0
684 |C 0712-310                         |OpC|07 15 20.0 -30 41 00                   |     ~|     ~| 3.6  |     ~|     ~|~                    |  47 |   0
685 |* bet LMi                          |SB*|10 27 52.9995995 +36 42 25.956038      | 5.76 | 5.11 | 4.21 | 3.52 | 3.06 |G9III                | 209 |   0
686 |* eta Vir                          |SB*|12 19 54.3488819446 -00 40 00.599569600| 3.99 | 3.92 | 3.90 | 3.82 | 3.82 |A2IV                 | 232 |   0
687 |* sig02 UMa A                      |PM*|09 10 23.5478925089 +67 08 02.478301413|     ~| 5.290| 4.813|     ~|     ~|F6IV-V               |  22 |   0
688 |* alf Scl                          |Ro*|00 58 36.3593029 -29 21 26.824714      | 3.52 | 4.09 | 4.27 | 4.30 | 4.43 |B7IIIp               | 237 |   0
689 |* zet Boo                          |** |14 41 08.95158 +13 43 41.8967          |     ~| 3.848| 3.793|     ~|     ~|A1V                  | 101 |   0
690 |* mu. Vel A                        |PM*|10 46 46.187828 -49 25 12.93704        |     ~| 3.66 | 2.70 |     ~|     ~|~                    |   1 |   0
691 |* phi Per                          |Be*|01 43 39.6379209 +50 41 19.432832      | 3.10 | 4.02 | 4.06 | 3.90 | 3.88 |B1.5V:e-shell        | 532 |   0
692 |* mu. Oph                          |*  |17 37 50.7130843 -08 07 07.574857      | 4.53 | 4.73 | 4.62 | 4.44 | 4.33 |B8II((Mn))           | 120 |   1
